NO.,Song,Difficulty,level,PERFECT,GREAT,GOOD,BAD,MISS,비고
1,도쿄테디베어,EXPERT,28,1155,12,0,0,5,none
2,Sage,EXPERT,29,1233,25,1,0,0,none
3,킬러,EXPERT,27,820,5,0,0,0,FC
4,아이덴티티,MASTER,31,1416,61,1,2,9,none
5,래그트레인,MASTER,27,902,17,0,0,1,none
6,갯나리해저담,MASTER,28,826,6,0,0,1,none
7,춤춰라 오케스트라,MASTER,28,1038,20,0,0,10,none
8,blander,MASTER,27,760,20,0,0,1,none
9,나는 우리들은,MASTER,27,908,8,1,0,1,none
10,모래의 행성,MASTER,27,1046,12,3,0,1,none
11,새벽과 반딧불이,HARD,15,457,0,0,0,0,AP
12,메모리아,EXPERT,31,1588,43,3,0,3,none
13,메모리아,EXPERT,31,1601,35,0,0,1,none
14,메모리아,EXPERT,31,1619,17,1,0,0,none
15,메모리아,EXPERT,31,1611,26,0,0,0,FC
